name,distance,n_points,total_mass,mean_f_gas,r_max,chi2_standard,mean_res_standard,chi2_overhead,mean_res_overhead,chi2_screening,mean_res_screening,chi2_recognition,mean_res_recognition,chi2_xi_screening,mean_res_xi_screening
NGC0801,80.7,13,24542187184004.855,0.04452687556055845,59.82,57.220015705394864,-0.05953499995712501,62.704134323326684,-0.06239937787788123,487.2514904691868,1.4713711418729483,54.18683726098796,-0.06307202338075779,57.72829963673404,-0.061877382174766786
NGC6946,5.52,58,1576105500552.3013,0.03931867001910025,20.4,87.75714058002094,-0.03561136079688821,92.28850986117912,-0.038434778699422134,1441.7400988860927,1.747837853554562,91.9599110148196,-0.04049129812669334,90.56183862167529,-0.03801332875876038
F563-V2,59.7,10,76268659634.58162,0.22329988779285798,10.47,18.215702118376317,1.151204574751933,20.312507080755797,1.140147779374244,44.6031609554612,9.368432295580465,16.256756833829375,1.138891032006937,18.14151349485084,1.1458466471925033
UGC02953,16.5,115,17291437138544.98,0.011080881539158746,62.39,535.1960230752808,0.08923186924889884,533.1272135209003,0.08641540368518077,5769.497755231784,3.053557585489095,523.3240056032373,0.08426872925557631,529.1466956082384,0.08651895876174513
F567-2,79.0,5,35891735365.47884,0.15853144832995064,9.59,4.434715596360353,0.2808811077829529,5.795253268455867,0.2753479833140978,36.9811848281569,3.2407649058867927,3.4535637582126952,0.274526970554047,4.375525466822242,0.2776908634573828
NGC7331,14.7,36,10382377048284.18,0.03912734850559523,36.31,166.75257153256302,-0.0733049105265813,173.80383912354523,-0.07604373361845808,699.4369275593561,0.8634804014419699,167.03022259900527,-0.07696788674926681,169.00430338970253,-0.0756129965251666
NGC5907,17.3,19,11713031548733.092,0.08969260211320551,50.33,266.8008217878566,0.22313981596593271,274.6086869410115,0.21872774517215146,1700.0403302325496,1.0636847933416635,247.6089039595505,0.21894804356132483,262.0871487057965,0.2200933857909899
NGC3726,18.0,12,2809318230764.8545,0.06817546130317227,32.52,23.393331703035916,0.0517188954396649,26.113760871385363,0.048150119235276824,226.71698642786407,1.18557826237335,22.21754317431312,0.047414232849263,23.77466977296137,0.049099417161873195
NGC3198,13.8,43,2749226604068.8057,0.09375188054555493,44.08,301.0780966832861,0.2148960410227398,303.0320647045627,0.2100414866707621,1804.3361506595381,2.225817426227609,290.37676872305747,0.20976308396748425,298.4294514200622,0.21187014332038476
NGC0891,9.91,18,2729740900015.9946,0.01894193581930904,17.11,217.79172941730727,-0.1584988155105183,236.19991265264784,-0.16074074921726578,1231.2577178093065,1.3426981158400393,214.4061258043749,-0.16279519501639395,222.35745219097043,-0.16059471212611034
NGC0100,13.5,21,44690454434.15155,0.08166684156911398,9.62,23.675016181884263,0.40612069721592803,24.597147292993178,0.4010235923244531,140.26385945085127,4.239301569576838,22.154526412487897,0.39876446144879857,23.465950663415285,0.40261852316706237
NGC4217,18.0,19,1534428825819.2842,0.019743608028644184,16.72,88.62747688285465,-0.1595032112855895,94.9967355125026,-0.16176085496035464,212.16590038385914,1.2395610759802904,86.1867158895605,-0.1637139000691239,89.74446849386763,-0.16159660628889094
